sw4379B-ms98-a-0002,0.500375,0.852000,uh-huh,B,ny,u-2-1
sw4379B-ms98-a-0002,1.551875,1.681000,do,B,%,u-2-2
sw4379B-ms98-a-0002,1.681000,1.885625,you,I,%,u-2-2
sw4379B-ms98-a-0004,6.805875,6.958250,we,B,sd,u-4-1
sw4379B-ms98-a-0004,6.958250,7.198250,have,I,sd,u-4-1
sw4379B-ms98-a-0004,7.198250,7.288250,a,I,sd,u-4-1
sw4379B-ms98-a-0004,7.288250,7.608250,very,I,sd,u-4-1
sw4379B-ms98-a-0004,7.608250,8.145250,detailed,I,sd,u-4-1
sw4379B-ms98-a-0004,8.182875,8.598250,budget,I,sd,u-4-1
sw4379B-ms98-a-0004,8.598250,8.908250,because,I,sd,u-4-1
sw4379B-ms98-a-0004,8.908250,9.058250,my,I,sd,u-4-1
sw4379B-ms98-a-0004,9.058250,9.508250,husband,I,sd,u-4-1
sw4379B-ms98-a-0004,9.508250,9.628250,is,I,sd,u-4-1
sw4379B-ms98-a-0004,9.628250,9.698250,a,I,sd,u-4-1
sw4379B-ms98-a-0004,9.698250,10.207875,finance,I,sd,u-4-1
sw4379B-ms98-a-0004,10.695625,11.168250,major,I,sd,u-4-1
sw4379B-ms98-a-0005,12.112750,12.551875,and,B,sd,u-6-1
sw4379B-ms98-a-0005,12.939875,13.173500,we,I,sd,u-6-1
sw4379B-ms98-a-0005,13.173500,13.686875,have,I,sd,u-6-1
sw4379B-ms98-a-0006,14.844750,14.917375,you,I,sd,u-6-1
sw4379B-ms98-a-0006,14.917375,15.133625,know,I,sd,u-6-1
sw4379B-ms98-a-0006,15.457375,15.547375,we,I,sd,u-6-1
sw4379B-ms98-a-0006,15.547375,15.795500,have,I,sd,u-6-1
sw4379B-ms98-a-0006,15.877375,16.227375,money,I,sd,u-6-1
sw4379B-ms98-a-0006,16.227375,16.377375,that,I,sd,u-6-1
sw4379B-ms98-a-0006,16.377375,16.667375,we,I,sd,u-6-1
sw4379B-ms98-a-0006,16.667375,16.967375,take,I,sd,u-6-1
sw4379B-ms98-a-0006,16.967375,17.207375,out,I,sd,u-6-1
sw4379B-ms98-a-0006,17.207375,17.417375,each,I,sd,u-6-1
sw4379B-ms98-a-0006,17.417375,17.697375,month,I,sd,u-6-1
sw4379B-ms98-a-0006,17.697375,17.837375,that,I,sd,u-6-1
sw4379B-ms98-a-0006,17.837375,18.165750,we,I,sd,u-6-1
sw4379B-ms98-a-0006,18.655375,19.057375,um,I,sd,u-6-1
sw4379B-ms98-a-0006,19.447375,19.527375,you,I,sd,u-6-1
sw4379B-ms98-a-0006,19.527375,19.607375,know,I,sd,u-6-1
sw4379B-ms98-a-0006,19.607375,19.757375,for,I,sd,u-6-1
sw4379B-ms98-a-0006,19.757375,20.257375,food,I,sd,u-6-1
sw4379B-ms98-a-0006,20.257375,20.447375,and,I,sd,u-6-1
sw4379B-ms98-a-0006,20.447375,20.767375,and,I,sd,u-6-1
sw4379B-ms98-a-0006,20.767375,21.107375,for,I,sd,u-6-1
sw4379B-ms98-a-0007,21.667875,22.026625,for,I,sd,u-6-1
sw4379B-ms98-a-0007,22.089750,22.569500,gas,I,sd,u-6-1
sw4379B-ms98-a-0007,22.622250,22.797875,and,I,sd,u-6-1
sw4379B-ms98-a-0007,22.797875,23.007875,things,I,sd,u-6-1
sw4379B-ms98-a-0007,23.007875,23.197875,like,I,sd,u-6-1
sw4379B-ms98-a-0007,23.197875,23.317875,that,I,sd,u-6-1
sw4379B-ms98-a-0007,23.317875,23.407875,and,B,sd,u-6-2
sw4379B-ms98-a-0007,23.407875,23.497875,then,I,sd,u-6-2
sw4379B-ms98-a-0007,23.497875,23.607875,we,I,sd,u-6-2
sw4379B-ms98-a-0007,23.607875,23.807875,put,I,sd,u-6-2
sw4379B-ms98-a-0007,23.807875,24.229000,aside,I,sd,u-6-2
sw4379B-ms98-a-0007,24.302375,24.447875,so,I,sd,u-6-2
sw4379B-ms98-a-0007,24.447875,24.707875,much,I,sd,u-6-2
sw4379B-ms98-a-0007,24.707875,24.957875,money,I,sd,u-6-2
sw4379B-ms98-a-0007,24.957875,25.197875,each,I,sd,u-6-2
sw4379B-ms98-a-0007,25.197875,25.417250,month,I,sd,u-6-2
sw4379B-ms98-a-0007,25.458625,25.557875,for,I,sd,u-6-2
sw4379B-ms98-a-0007,25.557875,26.117875,birthdays,I,sd,u-6-2
sw4379B-ms98-a-0007,26.117875,26.304000,and,I,sd,u-6-2
sw4379B-ms98-a-0007,26.722125,26.917875,for,I,sd,u-6-2
sw4379B-ms98-a-0007,26.917875,27.557875,Christmas,I,sd,u-6-2
sw4379B-ms98-a-0007,27.647875,27.887875,and,I,sd,u-6-2
sw4379B-ms98-a-0007,27.887875,28.279625,for,I,sd,u-6-2
sw4379B-ms98-a-0007,28.332375,28.641625,um,I,sd,u-6-2
sw4379B-ms98-a-0007,28.924125,29.140250,other,I,sd,u-6-2
sw4379B-ms98-a-0007,29.140250,29.587875,things,I,sd,u-6-2
sw4379B-ms98-a-0008,30.529125,30.695000,then,B,sd,u-8-1
sw4379B-ms98-a-0008,30.695000,30.785000,we,I,sd,u-8-1
sw4379B-ms98-a-0008,30.785000,31.055000,take,I,sd,u-8-1
sw4379B-ms98-a-0008,31.055000,31.165000,our,I,sd,u-8-1
sw4379B-ms98-a-0008,31.165000,31.525000,major,I,sd,u-8-1
sw4379B-ms98-a-0008,31.525000,32.145000,purchases,I,sd,u-8-1
sw4379B-ms98-a-0008,32.145000,32.245000,we,I,sd,u-8-1
sw4379B-ms98-a-0008,32.245000,32.445000,want,I,sd,u-8-1
sw4379B-ms98-a-0008,32.445000,32.505000,to,I,sd,u-8-1
sw4379B-ms98-a-0008,32.505000,32.755000,make,I,sd,u-8-1
sw4379B-ms98-a-0008,32.755000,33.055000,during,I,sd,u-8-1
sw4379B-ms98-a-0008,33.055000,33.305000,that,I,sd,u-8-1
sw4379B-ms98-a-0008,33.305000,33.733125,year,I,sd,u-8-1
sw4379B-ms98-a-0008,34.155000,34.215000,and,B,sd,u-8-2
sw4379B-ms98-a-0008,34.215000,34.355000,we,I,sd,u-8-2
sw4379B-ms98-a-0008,34.355000,34.745000,budget,I,sd,u-8-2
sw4379B-ms98-a-0008,34.745000,35.073125,them,I,sd,u-8-2
sw4379B-ms98-a-0008,35.115000,35.655000,into,I,sd,u-8-2
sw4379B-ms98-a-0008,36.205000,36.315000,what,I,sd,u-8-2
sw4379B-ms98-a-0008,36.315000,36.425000,we,I,sd,u-8-2
sw4379B-ms98-a-0008,36.425000,36.835000,call,I,sd,u-8-2
sw4379B-ms98-a-0008,36.835000,37.274375,our,I,sd,u-8-2
sw4379B-ms98-a-0008,37.485250,37.619000,n[eeds]-,I,sd,u-8-2
sw4379B-ms98-a-0008,37.619000,37.765000,our,I,sd,u-8-2
sw4379B-ms98-a-0008,37.765000,38.085000,needs,I,sd,u-8-2
sw4379B-ms98-a-0008,38.085000,38.225000,and,I,sd,u-8-2
sw4379B-ms98-a-0008,38.225000,38.615000,wants,I,sd,u-8-2
sw4379B-ms98-a-0008,38.615000,39.089250,list,I,sd,u-8-2
sw4379B-ms98-a-0009,39.725750,39.965375,and,B,sd,u-10-1
sw4379B-ms98-a-0009,39.965375,40.365125,so,I,sd,u-10-1
sw4379B-ms98-a-0009,40.734250,41.217375,um,I,sd,u-10-1
sw4379B-ms98-a-0009,41.582750,41.645375,the,I,sd,u-10-1
sw4379B-ms98-a-0009,41.645375,41.925375,things,I,sd,u-10-1
sw4379B-ms98-a-0009,41.925375,42.105375,that,I,sd,u-10-1
sw4379B-ms98-a-0009,42.105375,42.285375,like,I,sd,u-10-1
sw4379B-ms98-a-0009,42.285375,42.365375,a,I,sd,u-10-1
sw4379B-ms98-a-0009,42.365375,43.025375,vacation,I,sd,u-10-1
sw4379B-ms98-a-0009,43.025375,43.115375,we,B,sd,u-10-2
sw4379B-ms98-a-0009,43.115375,43.275375,have,I,sd,u-10-2
sw4379B-ms98-a-0009,43.275375,43.365375,a,I,sd,u-10-2
sw4379B-ms98-a-0009,43.365375,43.995375,vacation,I,sd,u-10-2
sw4379B-ms98-a-0009,43.995375,44.375375,fund,I,sd,u-10-2
sw4379B-ms98-a-0009,44.375375,44.485375,we,B,sd,u-10-3
sw4379B-ms98-a-0009,44.485375,44.655375,have,I,sd,u-10-3
sw4379B-ms98-a-0009,44.655375,44.742875,a,I,sd,u-10-3
sw4379B-ms98-a-0009,44.742875,45.005375,fund,I,sd,u-10-3
sw4379B-ms98-a-0009,45.005375,45.125375,for,I,sd,u-10-3
sw4379B-ms98-a-0009,45.125375,45.225375,the,I,sd,u-10-3
sw4379B-ms98-a-0009,45.225375,45.555375,things,I,sd,u-10-3
sw4379B-ms98-a-0009,45.555375,45.645375,we,I,sd,u-10-3
sw4379B-ms98-a-0009,45.645375,45.995375,need,I,sd,u-10-3
sw4379B-ms98-a-0009,45.995375,46.105375,and,I,sd,u-10-3
sw4379B-ms98-a-0009,46.105375,46.195375,then,I,sd,u-10-3
sw4379B-ms98-a-0009,46.195375,46.255375,a,I,sd,u-10-3
sw4379B-ms98-a-0009,46.455375,46.625375,for,I,sd,u-10-3
sw4379B-ms98-a-0009,46.625375,46.725375,the,I,sd,u-10-3
sw4379B-ms98-a-0009,46.725375,47.049750,things,I,sd,u-10-3
sw4379B-ms98-a-0009,47.113750,47.225375,that,I,sd,u-10-3
sw4379B-ms98-a-0009,47.225375,47.335375,we,I,sd,u-10-3
sw4379B-ms98-a-0009,47.335375,47.809375,want,I,sd,u-10-3
sw4379B-ms98-a-0010,48.881500,49.363500,and,B,sd,u-12-1
sw4379B-ms98-a-0010,49.363500,49.993500,um,I,sd,u-12-1
sw4379B-ms98-a-0010,50.273500,50.545875,and,I,sd,u-12-1
sw4379B-ms98-a-0010,50.545875,50.803500,we're,I,sd,u-12-1
sw4379B-ms98-a-0010,50.803500,51.343500,continually,I,sd,u-12-1
sw4379B-ms98-a-0010,51.343500,51.623500,putting,I,sd,u-12-1
sw4379B-ms98-a-0010,51.623500,51.853500,into,I,sd,u-12-1
sw4379B-ms98-a-0010,51.853500,52.257625,those,I,sd,u-12-1
sw4379B-ms98-a-0010,52.463500,52.543500,you,I,sd,u-12-1
sw4379B-ms98-a-0010,52.543500,52.653500,know,I,sd,u-12-1
sw4379B-ms98-a-0010,52.653500,52.883500,each,I,sd,u-12-1
sw4379B-ms98-a-0010,52.883500,53.382625,month,I,sd,u-12-1
sw4379B-ms98-a-0010,53.593500,53.803500,how,I,sd,u-12-1
sw4379B-ms98-a-0010,53.803500,54.013500,much,I,sd,u-12-1
sw4379B-ms98-a-0010,54.013500,54.123500,we're,I,sd,u-12-1
sw4379B-ms98-a-0010,54.123500,54.373500,going,I,sd,u-12-1
sw4379B-ms98-a-0010,54.373500,54.513500,to,I,sd,u-12-1
sw4379B-ms98-a-0010,54.513500,54.653500,need,I,sd,u-12-1
sw4379B-ms98-a-0010,54.653500,54.743500,and,B,sd,u-12-2
sw4379B-ms98-a-0010,54.743500,54.853500,then,I,sd,u-12-2
sw4379B-ms98-a-0010,54.853500,54.953500,we,I,sd,u-12-2
sw4379B-ms98-a-0010,54.953500,55.133500,know,I,sd,u-12-2
sw4379B-ms98-a-0010,55.133500,55.223500,the,I,sd,u-12-2
sw4379B-ms98-a-0010,55.223500,55.503500,month,I,sd,u-12-2
sw4379B-ms98-a-0010,55.503500,55.623500,that,I,sd,u-12-2
sw4379B-ms98-a-0010,55.623500,55.713500,we're,I,sd,u-12-2
sw4379B-ms98-a-0010,55.713500,55.833500,going,I,sd,u-12-2
sw4379B-ms98-a-0010,55.833500,55.913500,to,I,sd,u-12-2
sw4379B-ms98-a-0010,55.913500,56.063500,have,I,sd,u-12-2
sw4379B-ms98-a-0010,56.063500,56.303500,enough,I,sd,u-12-2
sw4379B-ms98-a-0010,56.303500,56.443500,to,I,sd,u-12-2
sw4379B-ms98-a-0010,56.443500,56.683500,get,I,sd,u-12-2
sw4379B-ms98-a-0010,56.683500,56.853500,that,I,sd,u-12-2
sw4379B-ms98-a-0010,56.853500,57.403500,particular,I,sd,u-12-2
sw4379B-ms98-a-0010,57.403500,57.735125,item,I,sd,u-12-2
sw4379B-ms98-a-0011,58.631125,58.844625,so,B,sd,u-14-1
sw4379B-ms98-a-0011,58.844625,58.984625,we,I,sd,u-14-1
sw4379B-ms98-a-0011,58.984625,59.264625,very,I,sd,u-14-1
sw4379B-ms98-a-0011,59.264625,59.604625,rarely,I,sd,u-14-1
sw4379B-ms98-a-0011,59.604625,59.784625,buy,I,sd,u-14-1
sw4379B-ms98-a-0011,59.784625,60.394625,anything,I,sd,u-14-1
sw4379B-ms98-a-0011,60.394625,60.544625,on,I,sd,u-14-1
sw4379B-ms98-a-0011,60.544625,61.046250,credit,I,sd,u-14-1
sw4379B-ms98-a-0011,61.200625,61.604625,everything,B,sd,u-14-2
sw4379B-ms98-a-0011,61.604625,61.714625,we,I,sd,u-14-2
sw4379B-ms98-a-0011,61.714625,61.904625,buy,I,sd,u-14-2
sw4379B-ms98-a-0011,61.904625,62.094625,is,I,sd,u-14-2
sw4379B-ms98-a-0011,62.094625,62.342625,paid,I,sd,u-14-2
sw4379B-ms98-a-0011,62.414500,62.627625,for,I,sd,u-14-2
sw4379B-ms98-a-0012,64.042125,65.482125,[laughter],O,,
sw4379B-ms98-a-0014,84.472125,84.675875,right,B,b,u-20-1
sw4379B-ms98-a-0015,85.891250,86.234125,right,B,b^r,u-22-1
sw4379B-ms98-a-0017,101.136125,101.570125,right,B,b,u-26-1
sw4379B-ms98-a-0018,102.342125,102.666875,um,B,sd,u-28-1
sw4379B-ms98-a-0018,103.069875,103.234625,we,I,sd,u-28-1
sw4379B-ms98-a-0018,103.234625,103.394625,have,I,sd,u-28-1
sw4379B-ms98-a-0018,103.394625,103.714625,found,I,sd,u-28-1
sw4379B-ms98-a-0018,103.714625,103.824625,that,I,sd,u-28-1
sw4379B-ms98-a-0018,103.824625,104.020875,we,I,sd,u-28-1
sw4379B-ms98-a-0018,104.020875,104.324625,spend,I,sd,u-28-1
sw4379B-ms98-a-0018,104.324625,104.594625,less,I,sd,u-28-1
sw4379B-ms98-a-0018,104.594625,104.974625,money,I,sd,u-28-1
sw4379B-ms98-a-0018,104.974625,105.147750,if,I,sd,u-28-1
sw4379B-ms98-a-0018,105.200500,105.314625,we,I,sd,u-28-1
sw4379B-ms98-a-0018,105.314625,105.714625,pull,I,sd,u-28-1
sw4379B-ms98-a-0018,105.714625,105.984625,out,I,sd,u-28-1
sw4379B-ms98-a-0018,105.984625,106.064625,the,I,sd,u-28-1
sw4379B-ms98-a-0018,106.064625,106.466125,money,I,sd,u-28-1
sw4379B-ms98-a-0018,107.242000,107.684625,um,I,sd,u-28-1
sw4379B-ms98-a-0018,108.064625,108.454625,instead,B,+,u-30-1
sw4379B-ms98-a-0018,108.454625,108.524625,of,I,+,u-30-1
sw4379B-ms98-a-0018,108.524625,108.694625,just,I,+,u-30-1
sw4379B-ms98-a-0018,108.694625,109.064625,writing,I,+,u-30-1
sw4379B-ms98-a-0018,109.064625,109.414625,checks,I,+,u-30-1
sw4379B-ms98-a-0018,109.414625,109.554625,for,I,+,u-30-1
sw4379B-ms98-a-0018,109.554625,110.027000,things,I,+,u-30-1
sw4379B-ms98-a-0019,110.658000,110.831875,if,B,sd,u-32-1
sw4379B-ms98-a-0019,110.831875,110.941875,we,I,sd,u-32-1
sw4379B-ms98-a-0019,110.941875,111.421875,actually,I,sd,u-32-1
sw4379B-ms98-a-0019,111.421875,111.741875,pull,I,sd,u-32-1
sw4379B-ms98-a-0019,111.741875,111.841875,it,I,sd,u-32-1
sw4379B-ms98-a-0019,111.841875,112.101875,out,I,sd,u-32-1
sw4379B-ms98-a-0019,112.101875,112.221875,and,I,sd,u-32-1
sw4379B-ms98-a-0019,112.221875,112.481875,keep,I,sd,u-32-1
sw4379B-ms98-a-0019,112.481875,112.571875,it,I,sd,u-32-1
sw4379B-ms98-a-0019,112.571875,112.761875,in,I,sd,u-32-1
sw4379B-ms98-a-0019,112.761875,112.864000,a,I,sd,u-32-1
sw4379B-ms98-a-0019,112.864000,113.378375,safe,I,sd,u-32-1
sw4379B-ms98-a-0019,113.630750,113.901000,here,I,sd,u-32-1
sw4379B-ms98-a-0020,114.803500,115.110375,and,B,sd,u-34-1
sw4379B-ms98-a-0020,115.110375,115.301500,we,I,sd,u-34-1
sw4379B-ms98-a-0020,115.301500,115.745125,actually,I,sd,u-34-1
sw4379B-ms98-a-0020,115.745125,116.065125,pull,I,sd,u-34-1
sw4379B-ms98-a-0020,116.065125,116.295125,out,I,sd,u-34-1
sw4379B-ms98-a-0020,116.295125,116.375125,the,I,sd,u-34-1
sw4379B-ms98-a-0020,116.375125,116.665125,money,I,sd,u-34-1
sw4379B-ms98-a-0020,116.665125,116.935125,each,I,sd,u-34-1
sw4379B-ms98-a-0020,116.935125,117.205125,month,I,sd,u-34-1
sw4379B-ms98-a-0020,117.205125,117.345125,that,I,sd,u-34-1
sw4379B-ms98-a-0020,117.345125,117.445125,we,I,sd,u-34-1
sw4379B-ms98-a-0020,117.445125,117.655125,want,I,sd,u-34-1
sw4379B-ms98-a-0020,117.655125,117.715125,to,I,sd,u-34-1
sw4379B-ms98-a-0020,117.715125,117.925125,put,I,sd,u-34-1
sw4379B-ms98-a-0020,117.925125,118.085125,in,I,sd,u-34-1
sw4379B-ms98-a-0020,118.085125,118.215125,for,I,sd,u-34-1
sw4379B-ms98-a-0020,118.215125,118.758250,birthdays,I,sd,u-34-1
sw4379B-ms98-a-0020,118.807250,118.905125,that,I,sd,u-34-1
sw4379B-ms98-a-0020,118.905125,118.995125,we,I,sd,u-34-1
sw4379B-ms98-a-0020,118.995125,119.205125,want,I,sd,u-34-1
sw4379B-ms98-a-0020,119.205125,119.245625,to,I,sd,u-34-1
sw4379B-ms98-a-0020,119.305875,119.475125,put,I,sd,u-34-1
sw4379B-ms98-a-0020,119.475125,119.672750,in,I,sd,u-34-1
sw4379B-ms98-a-0020,119.672750,120.158625,for,I,sd,u-34-1
sw4379B-ms98-a-0020,120.158625,120.623625,um,I,sd,u-34-1
sw4379B-ms98-a-0020,121.060500,121.125125,the,I,sd,u-34-1
sw4379B-ms98-a-0020,121.125125,121.865125,vacation,I,sd,u-34-1
sw4379B-ms98-a-0020,121.865125,122.005125,that,I,sd,u-34-1
sw4379B-ms98-a-0020,122.005125,122.105125,we,I,sd,u-34-1
sw4379B-ms98-a-0020,122.105125,122.325125,put,I,sd,u-34-1
sw4379B-ms98-a-0020,122.325125,122.455125,in,I,sd,u-34-1
sw4379B-ms98-a-0020,122.455125,122.585125,for,I,sd,u-34-1
sw4379B-ms98-a-0020,122.585125,123.185750,Christmas,I,sd,u-34-1
sw4379B-ms98-a-0022,126.318125,126.448000,[vocalized-noise],O,,
sw4379B-ms98-a-0022,126.448000,126.838625,well,B,h,u-36-1
sw4379B-ms98-a-0022,127.180000,127.255375,a,I,h,u-36-1
sw4379B-ms98-a-0022,127.255375,127.468000,lot,I,h,u-36-1
sw4379B-ms98-a-0022,127.468000,127.628000,of,I,h,u-36-1
sw4379B-ms98-a-0022,127.628000,128.019625,that,I,h,u-36-1
sw4379B-ms98-a-0022,128.128000,128.541500,um,I,h,u-36-1
